Obs,CLINIC,YEAR,GENDERSP,TOTAL,Susceptible,TetI,PenI,PenI_TetI,TetR,TetR_PenI,PenR,PenR_TetI,PenR_TetR,CipI_PenI_TetI,TetR_CipI,AziRS_PenI_TetI,CipI_TetI,CipR_PenR_TetR,CipR_PenI_TetI,CipR_TetR_PenI,CipR_PenI,CipR_PenR_TetI,AziRS_CipR_PenR_TetR,PenR_CipI_TetI,PenR_TetR_CipI,CipR_PenR,TetR_CipI_PenI,AziRS_CipR_TetR_PenI,AziRS_TetR_PenI,AziRS_PenR_TetR,AziRS_PenR_TetI,CipI_PenI,CfxRS_CipR_PenR_TetR,CfxRS_PenI_TetI,AziRS,AziRS_TetI,AziRS_PenI,CfxRS_CipI_PenI_TetI,AziRS_CipR_PenI_TetI,CfxRS_TetR_PenI,CipR_TetI,CipI,AziRS_PenR,PenR_CipI,AziRS_TetR_CipI_PenI,CipR,CipR_TetR,AziRS_CipI_PenI_TetI,CfxRS_CipR_TetR_PenI,AziRS_TetR,AziRS_CipR_PenR_TetI,CroRS_CfxRS_CipR_PenR_TetR,CroRS_CfxRS_PenR_TetI,CfxRS_PenR_TetR
558,DAL,2002,MSM,17,5,.,1,8,.,1,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
559,DAL,2002,MSMW,2,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
560,DAL,2003,MSW,273,45,7,66,106,2,39,.,1,5,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
561,DAL,2003,MSM,16,3,.,2,5,.,3,.,.,.,.,.,.,.,2,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
562,DAL,2003,MSMW,5,.,1,.,2,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
563,DAL,2004,MSW,273,60,10,59,110,5,13,.,5,6,1,.,.,.,.,1,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
564,DAL,2004,MSM,23,.,.,5,8,2,3,.,.,.,.,.,.,.,1,1,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
565,DAL,2004,MSMW,2,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
566,DAL,2004,Oth/Unk/Missing,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
567,DAL,2005,MSW,247,25,10,66,120,4,10,.,4,5,1,.,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
568,DAL,2005,MSM,27,2,.,3,4,.,7,.,1,.,2,.,1,.,5,.,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
569,DAL,2005,MSMW,4,1,.,2,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
570,DAL,2005,Oth/Unk/Missing,3,.,.,1,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
571,DAL,2006,MSW,262,23,7,43,135,3,29,.,5,8,.,.,.,.,4,3,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
572,DAL,2006,MSM,24,.,.,5,7,.,2,.,.,1,.,.,.,.,4,3,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
573,DAL,2006,MSMW,8,2,.,1,2,.,1,.,.,.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
574,DAL,2006,Oth/Unk/Missing,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
575,DAL,2007,MSW,255,30,5,41,126,.,35,.,4,3,.,.,.,.,5,4,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
576,DAL,2007,MSM,32,1,.,6,12,.,4,.,.,.,.,.,.,.,5,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
577,DAL,2007,MSMW,4,1,.,1,1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
578,DAL,2007,Oth/Unk/Missing,4,1,.,1,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
579,DAL,2008,MSW,254,24,3,54,117,1,36,.,3,1,.,.,.,.,5,8,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
580,DAL,2008,MSM,37,2,.,4,18,.,7,.,.,.,.,.,.,.,3,2,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
581,DAL,2008,MSMW,4,.,.,1,1,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
582,DAL,2009,MSW,263,.,.,85,127,.,27,.,4,1,.,.,.,.,6,8,2,.,2,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
583,DAL,2009,MSM,31,.,.,7,19,.,3,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
584,DAL,2009,MSMW,5,.,.,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
585,DAL,2009,Oth/Unk/Missing,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
586,DAL,2010,MSW,251,.,.,91,121,.,16,.,1,2,.,.,.,.,3,9,1,2,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
587,DAL,2010,MSM,35,.,.,6,11,.,4,.,.,.,.,.,.,.,.,1,6,.,.,.,.,1,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
588,DAL,2010,MSMW,9,.,.,2,4,.,2,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
589,DAL,2010,Oth/Unk/Missing,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
590,DAL,2011,MSW,219,.,.,74,121,.,12,.,3,1,.,.,.,.,1,4,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
591,DAL,2011,MSM,38,.,.,1,20,.,5,.,1,.,.,.,.,.,1,.,4,.,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
592,DAL,2011,MSMW,10,.,.,2,5,.,.,.,.,.,.,.,.,.,1,.,1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
593,DAL,2012,MSW,215,.,.,60,107,.,24,.,1,1,.,.,1,.,4,11,2,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
594,DAL,2012,MSM,60,.,.,4,24,.,10,.,.,1,1,.,.,.,8,2,5,.,.,.,.,3,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
595,DAL,2012,MSMW,8,.,.,1,6,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
596,DAL,2013,MSW,200,.,.,60,112,.,8,.,2,.,.,.,.,.,4,11,.,.,.,.,.,.,.,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
597,DAL,2013,MSM,74,.,.,10,35,.,11,.,4,1,.,.,.,.,5,3,3,.,.,.,.,.,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
598,DAL,2013,MSMW,12,.,.,2,5,.,.,.,1,.,.,.,.,.,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
599,DAL,2013,Oth/Unk/Missing,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
600,DAL,2014,MSW,236,.,.,44,143,.,15,.,7,.,.,.,.,.,9,6,.,.,.,.,.,3,.,1,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
601,DAL,2014,MSM,53,.,.,2,28,.,2,.,4,.,.,.,1,.,6,4,3,.,1,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
602,DAL,2014,MSMW,10,.,.,1,6,.,.,.,.,.,.,.,.,.,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
603,DAL,2014,Oth/Unk/Missing,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
604,DAL,2015,MSW,213,.,.,39,106,.,12,.,5,1,.,.,4,.,10,9,5,.,2,.,.,1,.,1,.,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
605,DAL,2015,MSM,60,.,.,6,16,.,5,.,3,.,.,.,5,.,4,5,3,.,8,.,.,.,.,.,.,4,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
606,DAL,2015,MSMW,10,.,.,1,4,.,.,.,1,.,.,.,1,.,.,1,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
607,DAL,2016,MSW,223,.,.,38,107,.,21,.,10,1,1,.,.,.,5,17,2,.,17,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
608,DAL,2016,MSM,62,.,.,.,22,.,4,.,1,.,4,.,1,.,3,15,2,.,6,.,.,1,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
609,DAL,2016,MSMW,15,.,.,1,5,.,.,.,.,.,.,.,.,.,2,3,.,.,2,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
610,DAL,2017,MSW,235,8,1,42,86,.,22,.,16,1,4,.,.,.,2,24,3,2,16,.,.,.,.,.,.,6,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.
611,DAL,2017,MSM,39,.,.,2,15,.,7,.,1,.,1,.,2,.,.,2,.,.,4,.,1,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
612,DAL,2017,MSMW,8,.,.,.,.,.,2,.,1,.,1,.,.,.,.,1,1,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
613,DAL,2018,MSW,227,10,4,43,60,1,22,2,9,2,8,.,1,.,7,29,2,1,17,.,1,.,.,2,.,4,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.
614,DAL,2018,MSM,58,2,.,5,16,.,5,.,2,1,1,.,.,.,7,6,1,2,6,.,1,.,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
615,DAL,2018,MSMW,12,.,.,.,6,.,.,.,1,.,.,.,.,.,2,1,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
616,DAL,2018,Oth/Unk/Missing,3,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
617,DAL,2019,MSW,247,13,11,29,71,4,34,.,10,.,2,.,.,.,10,28,13,1,7,.,1,.,.,1,2,9,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
618,DAL,2019,MSM,40,3,1,1,5,.,7,.,.,.,.,.,.,.,3,5,7,1,3,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
619,DAL,2019,MSMW,13,1,.,1,1,.,3,.,1,.,1,.,.,.,.,3,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
620,DEN,2000,MSW,247,22,5,30,183,.,4,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
621,DEN,2000,MSMW,50,.,1,4,33,.,6,.,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
622,DEN,2001,MSW,231,18,1,56,134,.,3,.,11,6,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
623,DEN,2001,MSMW,68,8,3,3,32,.,5,.,5,9,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
624,DEN,2002,MSW,211,30,1,66,92,1,12,.,4,3,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
625,DEN,2002,MSM,10,3,.,.,5,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
626,DEN,2002,MSMW,79,27,2,5,24,.,7,.,3,8,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
627,DEN,2003,MSW,235,87,9,25,106,.,6,.,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
628,DEN,2003,MSM,51,8,3,5,27,1,2,.,2,1,.,.,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
629,DEN,2003,MSMW,14,5,.,3,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
630,DEN,2004,MSW,225,71,17,26,91,.,8,.,2,1,.,.,.,.,8,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
631,DEN,2004,MSM,57,2,5,14,16,.,6,.,.,.,.,.,.,.,11,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.
632,DEN,2004,MSMW,18,3,.,3,9,.,.,.,1,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
633,DEN,2005,MSW,191,41,32,31,58,4,13,.,3,3,.,.,.,.,3,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
634,DEN,2005,MSM,73,3,5,16,21,1,5,.,1,1,.,.,.,.,11,4,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
635,DEN,2005,MSMW,15,.,1,3,4,.,2,.,.,1,.,.,.,.,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
636,DEN,2005,Oth/Unk/Missing,5,1,1,1,1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
637,DEN,2006,MSW,226,58,24,31,77,7,17,.,.,2,.,.,.,.,3,3,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
638,DEN,2006,MSM,63,1,.,8,11,.,4,.,.,3,.,.,.,.,20,8,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
639,DEN,2006,MSMW,4,.,.,2,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
640,DEN,2007,MSW,155,25,2,27,83,2,5,.,3,.,.,.,6,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
641,DEN,2007,MSM,49,1,1,2,17,.,.,.,.,1,.,.,.,.,9,8,6,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.
642,DEN,2007,MSMW,13,.,.,2,2,.,1,.,.,.,.,.,.,.,6,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
643,DEN,2007,Oth/Unk/Missing,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
644,DEN,2008,MSW,194,45,2,57,64,1,8,.,4,4,1,.,.,.,6,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
645,DEN,2008,MSM,52,3,1,4,21,.,2,.,.,.,.,.,.,.,15,3,.,.,1,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
646,DEN,2008,MSMW,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
647,DEN,2008,Oth/Unk/Missing,5,.,.,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
648,DEN,2009,MSW,156,.,.,72,53,.,12,.,3,4,1,.,.,.,3,4,.,.,2,.,.,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
649,DEN,2009,MSM,69,.,.,1,24,.,15,.,5,2,.,.,.,.,9,1,5,.,.,.,2,4,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
650,DEN,2009,MSMW,5,.,.,.,1,.,1,.,1,.,.,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
651,DEN,2010,MSW,173,.,.,66,77,.,3,.,2,.,1,.,.,.,7,2,1,6,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
652,DEN,2010,MSM,57,.,.,3,19,.,12,.,4,.,.,.,.,.,10,3,1,1,.,.,.,1,.,2,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
653,DEN,2010,MSMW,9,.,.,.,4,.,2,.,.,.,.,.,.,.,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
654,DEN,2011,MSW,125,.,.,41,62,.,2,.,.,.,.,.,.,.,6,10,1,.,.,1,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
655,DEN,2011,MSM,50,.,.,4,30,.,2,.,2,.,.,.,.,.,3,6,2,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
656,DEN,2011,MSMW,7,.,.,2,1,.,.,.,.,.,.,.,.,.,.,2,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
657,DEN,2011,Oth/Unk/Missing,5,.,.,1,2,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
658,DEN,2012,MSW,97,.,.,24,53,.,3,.,.,1,.,.,.,.,.,6,6,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
659,DEN,2012,MSM,87,.,.,7,52,.,7,.,1,.,.,.,.,.,5,7,4,1,.,.,.,1,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
660,DEN,2012,MSMW,9,.,.,.,7,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
661,DEN,2013,MSW,105,.,.,28,63,.,4,.,.,.,.,.,.,.,4,3,.,.,.,.,.,1,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
662,DEN,2013,MSM,84,.,.,5,40,.,8,.,2,1,.,.,1,.,7,12,5,1,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
663,DEN,2013,MSMW,9,.,.,.,3,.,1,.,1,.,.,.,.,.,2,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
664,DEN,2013,Oth/Unk/Missing,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
665,DEN,2018,MSW,65,3,.,7,20,.,10,.,.,.,.,.,.,.,6,11,4,.,2,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
666,DEN,2018,MSM,42,.,.,1,13,.,14,.,.,.,.,.,.,.,2,6,1,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
667,DEN,2018,MSMW,8,.,.,.,2,.,2,.,.,.,.,.,.,.,1,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
668,DEN,2018,Oth/Unk/Missing,9,1,.,.,2,.,3,.,.,.,.,.,.,.,.,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
669,DEN,2019,MSW,171,3,10,10,51,.,47,.,.,1,2,.,.,.,12,11,13,.,7,.,.,.,.,.,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
670,DEN,2019,MSM,92,1,.,2,30,.,25,.,.,.,2,.,.,.,3,12,3,4,1,.,.,1,.,.,4,2,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
671,DEN,2019,MSMW,13,.,.,.,2,.,6,.,.,.,.,.,1,.,.,1,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
672,DEN,2019,Oth/Unk/Missing,18,2,.,.,6,.,.,.,.,.,.,.,.,.,1,3,3,.,.,.,.,.,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
